"genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"Anime","Weezer","(If You're Wondering If I Want You To) I Want You To","09aDV0TC2RfWFU5IwZfIdG",52,0.00219,0.704,208773,0.869,0.000117,"B",0.127,-5.708,"Minor",0.0442,110.015,"4/4",0.8
"Pop","Lowland Hum","Vedauwoo","7f34NzgqC100aAxrtwurEi",60,0.891,0.643,159102,0.213,0.00138,"D#",0.211,-15.584,"Major",0.0324,137.709,"1/4",0.12
"Electronic","Dubloadz","Pepper","3WS55DSi8gdVZbKXoynSIa",39,0.136,0.831,238345,0.628,0.287,"A",0.47,-5.152,"Major",0.423,72.494,"4/4",0.186
"Reggaeton","Xavi The Destroyer","Mi Nena (feat. Zion Y Lennox)","4CSbh293nFUOez5Z9nzD3N",43,0.29,0.755,228794,0.603,0,"C#",0.12,-4.978,"Minor",0.0864,75.502,"4/4",0.684
"Indie","Cap Kendricks","Still Life","2JIQeiEOroT883u4OkkXDc",57,0.147,0.725,168502,0.521,0.316,"C",0.354,-5.447,"Major",0.0824,83.008,"4/4",0.658
"Reggae","Fortunate Youth","Sweet Sensi","7GxDNWarFj6eIZYzfR5itM",42,0.222,0.745,358048,0.499,0,"F",0.31,-7.528,"Major",0.0463,121.923,"4/4",0.817
"Folk","Gregory Alan Isakov","Idaho","20zcj4PSozTDNFGjML8fJS",49,0.791,0.516,282587,0.285,0.622,"D",0.118,-14.177,"Major",0.0268,133.698,"4/4",0.208
"World","Lawrence English","Watching It Unfold","7uWVu34XKqTFbQOmnRkver",32,0.884,0.161,349000,0.014,0.652,"E",0.0901,-26.505,"Major",0.0432,71.758,"4/4",0.0294
"Comedy","Ron White","Erectile Dysfunction & Dieting Tips - Remastered","2fM4iTaoM8QSBB668aPrTj",25,0.915,0.584,176827,0.752,0,"C#",0.862,-12.452,"Major",0.946,129.661,"4/4",0.13
"Country","Sturgill Simpson","Life Ain't Fair and the World Is Mean","3M97fwKZfzvQ8xppMoQ7a0",49,0.142,0.637,126467,0.821,0.0349,"B",0.261,-5.065,"Minor",0.0342,104.34,"4/4",0.734
"Alternative","NoMBe","California Girls (NoMBe vs. Sonny Alven)","4aqafewb0B9MlQVHUWIOuK",53,0.895,0.648,185840,0.577,0.0446,"F#",0.0848,-9.916,"Minor",0.144,97.91,"4/4",0.353
"Ska","Rancid","Backslide","1ejKld1cB8i55QVVB8TbwW",27,0.0835,0.384,173600,0.952,0,"G",0.404,-3.394,"Major",0.0633,144.256,"4/4",0.863
"Folk","Neil Sedaka","Bad Blood","5ABrBYbzepxzcW9pLIWw1j",39,0.2,0.735,189067,0.748,0.00189,"D",0.241,-8.396,"Major",0.0486,148.777,"4/4",0.839
"Soundtrack","Austin Wintory","Fourth Confluence","0KUNPFvxuCzKZPCH5RPSjd",39,0.328,0.197,66707,0.146,0.892,"B",0.11,-26.23,"Minor",0.041,82.876,"3/4",0.0283
"Children’s Music","Death Grips","Death Grips Is Online","4EHv5m2D0zDYYAu4xZoYwm",52,0.00388,0.522,211662,0.962,0.0528,"F#",0.406,-4.814,"Major",0.0765,146.392,"4/4",0.415
"Rock","Gorillaz","Submission (feat. Danny Brown & Kelela)","2W4yTO3qHdqyvbz2UxfIPh",55,0.00697,0.677,201573,0.83,0,"E",0.134,-3.96,"Major",0.0489,137.997,"4/4",0.612
"Indie","Amber Mark","Monsoon","04G8U1rkNbiiLNsWo2doW2",56,0.315,0.668,277152,0.63,1.75e-06,"C",0.0808,-9.139,"Major",0.0833,100.007,"4/4",0.33
"Soul","Sam Cooke","That's All I Need To Know","4U5BXxVUVyyQ3uMwVk0hY3",42,0.78,0.477,142867,0.349,0,"G#",0.105,-13.437,"Major",0.0355,82.036,"4/4",0.683
"Anime","Finger Eleven","Paralyzer","28IEbk5a7twNTbUEvWslUb",69,0.169,0.645,208107,0.941,0,"E",0.251,-3.425,"Minor",0.0448,106.015,"4/4",0.881
"Ska","Tim Timebomb","Let's Do Rocksteady","2XcPRibbVgNsjXYPEVIAJU",23,0.0282,0.735,173487,0.841,0,"F",0.165,-4.509,"Major",0.0402,125.045,"4/4",0.969
"Rap","Joyner Lucas","I Don't Die","3NSmC1EQKOdUe6KhMrDDk5",71,0.099,0.743,224735,0.876,0,"C#",0.119,-4.326,"Major",0.301,149.041,"4/4",0.574
"Opera","Richard Wagner","Tristan und Isolde, WWV 90: Prelude To Act 1. Langsam und schmachtend","0DrH9PwOYz1SpzQGSooMU1",11,0.954,0.132,729067,0.116,0.803,"C",0.0989,-22.655,"Major",0.0452,144.949,"1/4",0.0269
"Reggaeton","Tego Calderon","Punto y Aparte","388YhDYxPvaDIZQHWqpB4E",60,0.255,0.808,206493,0.767,0.0197,"C#",0.0886,-4.912,"Minor",0.0445,94.998,"4/4",0.722
"Soundtrack","Hans Zimmer","Nothing to Fear","5ZuNnppt60fFHGrTarQ4Gg",31,0.807,0.342,142933,0.226,0.854,"E",0.116,-20.922,"Minor",0.042,138.195,"3/4",0.0325
"Rap","Kehlani","In My Feelings","4cA6e3U7mtJfAOq3dWNAUZ",65,0.0293,0.556,219596,0.723,0,"C",0.13,-5.338,"Major",0.149,110.628,"4/4",0.555
"Blues","Three Days Grace","Villain I'm Not","5S5sl8oKKabdNXy61O8Si5",54,6.62e-05,0.413,175693,0.855,0,"E",0.368,-4.681,"Major",0.0497,160.107,"4/4",0.48
"Classical","Johann Christian Bach","Symphony in D Major, Op. 3, No. 1, W. C1: II. Andante","3Rl7ZACu0O4CQUW7vaBNqg",33,0.855,0.153,227307,0.0659,0.514,"G",0.0844,-23.445,"Major",0.0524,168.538,"4/4",0.103
"Children’s Music","Hollywood Undead","I'll Be There","52tQ2Tbqnxjm1IXjG1MGeN",52,0.0316,0.682,241200,0.713,1.09e-05,"C",0.382,-6.311,"Major",0.0311,122.021,"4/4",0.453
"Movie","Henri Salvador","Ma Petite Folie","3QcGyepNHEJ41GQXZE6WwE",0,0.832,0.745,148427,0.418,0,"A",0.155,-9.992,"Major",0.108,120.748,"4/4",0.847
"Folk","Davy Graham","Angi","1RCEGCnI5XTPGDLTSUy7IP",48,0.961,0.475,147067,0.0703,0.891,"C",0.13,-22.699,"Minor",0.0465,153.597,"4/4",0.497
"Opera","Georges Bizet","Carmen Suite No. 1: III. Intermezzo, Interlude before Act III","5aAMqxOw4gIlRM2KuohmgW",12,0.915,0.0859,173667,0.00848,0.848,"D#",0.108,-35.395,"Major",0.0428,83.892,"3/4",0.0391
"Anime","GZA","Shadowboxin'","7bp5DfkdK1OAvNJ1U4HfDA",66,0.0071,0.703,209973,0.646,3.8e-06,"C#",0.16,-10.036,"Major",0.372,92.029,"4/4",0.752
"Indie","Christian Scott aTunde Adjuah","Isadora","7G9VsVr1m6YzaJgHyRgz4y",53,0.901,0.278,373880,0.239,0.141,"F#",0.18,-15.248,"Major",0.0353,169.223,"3/4",0.204
"Soul","Raheem DeVaughn","Woman","7aON8z3MgEECzYwTSqakXZ",39,0.5,0.751,267600,0.48,0,"C",0.298,-5.784,"Minor",0.22,87.016,"4/4",0.632
"Soundtrack","John Williams","Indiana Jones Theme","60ZYLVPmSNY9r0Uquaivvs",44,0.897,0.287,335507,0.264,0.871,"F",0.077,-17.012,"Major",0.0404,116.555,"4/4",0.186
"R&B","vbnd","thoughts of you","6r6lZSvaGGeE0UBH3zkyux",50,0.322,0.896,160909,0.2,0.216,"G",0.477,-16.77,"Major",0.357,131.988,"4/4",0.704
"Folk","Tom Walker","Just You and I - Acoustic","0lsbbaa7nj7LtUXVdk0BQe",69,0.691,0.505,196893,0.522,2.78e-06,"A",0.111,-7.586,"Major",0.39,172.059,"4/4",0.381
"Folk","Hand Habits","pacify","73aUsqgOARLopdK3kcA4P0",40,0.382,0.371,257006,0.451,0.41,"F#",0.13,-9.259,"Major",0.0293,111.646,"4/4",0.164
"Rap","The Weeknd","Stargirl Interlude","4EDijkJdHBZZ0GwJ12iTAj",66,0.344,0.638,111640,0.47,0.193,"F",0.105,-12.697,"Minor",0.132,179.818,"4/4",0.442
"Rock","HUNNY","Cry For Me","4tyJ6cRDQOQMeZLwMqFjax",53,0.00166,0.561,213707,0.768,0,"B",0.29,-4.884,"Minor",0.0558,115.916,"4/4",0.591
"Movie","Leigh Harline","Whale Chase","47of42eH4l5vd5RHRn8wFS",17,0.92,0.216,198333,0.383,0.707,"C",0.517,-13.174,"Major",0.0531,180.582,"4/4",0.199
"Blues","Morrissey","It's Over","2LukF5FYYHFov28gSnVmpp",53,0.0224,0.463,172000,0.676,2.64e-05,"C",0.15,-4.094,"Major",0.0255,93.076,"4/4",0.332
"Reggae","Alborosie","Dub For The Radicals","2wvcG2288gsAxWB9KHFN5x",39,0.0142,0.736,247773,0.41,0.544,"E",0.117,-9.442,"Minor",0.0996,75.683,"4/4",0.386
"Dance","Natalia Kills","Devils Don't Fly","1OBrEfDbOdV0v0L0iiOu8h",62,0.237,0.606,277867,0.663,0.000194,"D",0.139,-6.175,"Minor",0.042,85.967,"4/4",0.201
"Reggaeton","Max Pizzolante","Shut up and Dance (feat. Beto Perez)","1HYss85nHC8VhO4ZlXZ32p",39,0.00365,0.861,239773,0.819,0.000813,"D",0.0678,-6.313,"Major",0.0608,130.045,"4/4",0.273
"Jazz","Skinshape","The Place Upstream","2cXZGMrnLev7ok20fyDR0C",37,0.0148,0.774,222730,0.608,0.857,"G#",0.142,-9.018,"Major",0.05,123.078,"4/4",0.341
"Alternative","X Ambassadors","Unsteady - Justin Caruso Remix","3Y9smXGzIcoMzg5UhItDqh",53,0.0248,0.574,182320,0.701,3.12e-05,"B",0.313,-6.038,"Minor",0.0572,145.069,"4/4",0.25
"Rap","Yung Pinch","When I Get Home (Hotel California)","76ARBVsPT9Cg0aAO0CFno8",54,0.406,0.729,203813,0.698,0,"F",0.108,-4.986,"Minor",0.0545,131.966,"4/4",0.466
"Rock","The Unlikely Candidates","Call My Name","1v2EmuslskqaQS0iNfhwMb",62,0.000433,0.614,182058,0.72,0,"F#",0.148,-4.076,"Minor",0.0305,104.082,"4/4",0.585
"World","Elevation Worship","The First Light","6Ga6jeNeMzmJfpNNqMiuh3",31,0.0633,0.233,152513,0.65,0.85,"A",0.107,-10.069,"Minor",0.0396,85.381,"5/4",0.104
"World","Gateway Worship","Living Water","0LxGiQCMxUkv2j7q4PUptW",37,0.05,0.403,376107,0.554,0,"G",0.088,-6.132,"Major",0.0296,140.076,"4/4",0.0703
"World","Elevation Worship","Mighty Cross (Acoustic)","3cdThIQ9BkMNLTrbSzFOJi",49,0.649,0.353,301998,0.256,0,"G",0.134,-6.472,"Major",0.0307,69.967,"4/4",0.186
"Alternative","Five Finger Death Punch","It Doesn't Matter","1KkgRrcHs2EfVzLtcCrWXI",53,2.48e-05,0.51,225964,0.993,3.87e-05,"E",0.369,-4.202,"Major",0.11,139.988,"4/4",0.238
"Jazz","Charles Mingus","Moanin'","3rFzc8CLVDZ7OOtFa2jPYP",46,0.438,0.488,482960,0.476,0.000279,"F",0.11,-10.316,"Minor",0.0497,110.951,"4/4",0.583
"Pop","Chance the Rapper","65th & Ingleside","5H0NU2sHWUnWCcZyYlX46X",65,0.0394,0.792,273600,0.555,6.39e-06,"C",0.107,-7.038,"Major",0.34,99.954,"4/4",0.084
"Rap","Childish Gambino","I.Crawl","0ccmrEgpKa5iFvijTxIrGf",54,0.0445,0.588,209473,0.539,4.82e-06,"F#",0.121,-8.816,"Major",0.0396,132.976,"4/4",0.343
"World","Phil Wickham","Heaven Song","6CA7jtR1F7ijfYqvnzI6Yg",41,0.408,0.462,244547,0.31,0,"G",0.122,-9.428,"Major",0.028,134.01,"4/4",0.316
"Jazz","Inger Marie Gundersen","Will you still love me tomorrow","2pzhO7ZJ3tQGnnkxI6sc5o",44,0.59,0.759,287613,0.45,0.0113,"G",0.102,-10.5,"Minor",0.0334,96.051,"4/4",0.457
"Comedy","Mitch Hedberg","Beret And Pancakes","5TDPZIshBEy8JxPnayCaAU",31,0.58,0.541,109267,0.35,1.01e-05,"F#",0.455,-15.752,"Minor",0.7,81.786,"3/4",0.656
"Comedy","Eugene Mirman","Hello And Several Jokes On Topics Ranging From Elevators To Goofing Around On A Whale Watch","3Cz9dov4l2jxDinf4L2nUC",32,0.79,0.558,341040,0.381,0,"C#",0.752,-16.52,"Major",0.946,73.315,"3/4",0.42
"Comedy","Juan Carlos Escalante","El Presidente","2yxd5MfDxWOeYvG294SfZG",24,0.789,0.643,191348,0.39,0,"F#",0.672,-13.775,"Major",0.908,96.432,"4/4",0.732
"Anime","Hollywood Undead","Nobody's Watching","2DmbTDWgjXdRHLjqCcq4He",52,0.0269,0.628,238680,0.788,0,"D",0.223,-2.844,"Minor",0.047,117.031,"4/4",0.122
"Movie","Nathan Lane","Warthog Rhapsody (From ""Rhythm of the Pride Lands"") - From ""The Lion King""/Soundtrack Version","0wV3ZYmmssQWwjmycU3DCT",28,0.443,0.515,184960,0.766,0,"F",0.0667,-5.489,"Major",0.286,148.282,"4/4",0.763
"Hip-Hop","$uicideBoy$","Goosebumps","7ae2GdeXS5Tvo5RvdNwgaz",52,0.311,0.886,112500,0.742,1.1e-05,"C#",0.241,-4.582,"Major",0.199,130,"4/4",0.463
"Anime","Airways","Alien","1nUqrf8MMTeEhPQQpXHS11",60,0.0876,0.565,194907,0.87,1.36e-06,"D",0.118,-5.299,"Major",0.189,96.006,"4/4",0.363
"Dance","Ricky Martin","Livin' la Vida Loca","0Ph6L4l8dYUuXFmb71Ajnd",71,0.00411,0.425,243160,0.954,0,"C#",0.0555,-3.756,"Minor",0.0476,178.043,"4/4",0.933
"Reggaeton","Zion & Lennox","Pierdo la Cabeza (DJ Lobo Remix) [feat. Shadow Blow]","3IOFEAybqg6nesj2uS0Fyp",28,0.527,0.804,234581,0.792,0,"C",0.311,-5.774,"Major",0.0489,93.014,"4/4",0.725
"Reggae","Tarrus Riley","Something Strong","6AROEJBcMcCSf7cxR2d1Je",31,0.206,0.631,257947,0.542,0,"A",0.356,-6.254,"Major",0.206,74.406,"4/4",0.717
"Hip-Hop","Kendrick Lamar","Mortal Man","1WT11QmhZutciEv1NsHt1R",55,0.665,0.567,727107,0.525,0,"A#",0.708,-9.043,"Minor",0.75,86.935,"4/4",0.416
"Ska","The Pietasters","Quicksand","3eWrkqxOHUzsdwdwtzJTrn",14,0.00297,0.723,166067,0.812,0,"C#",0.308,-5.804,"Major",0.0424,141.527,"4/4",0.862
"Jazz","El Gran Combo De Puerto Rico","Mujer Celosa","6RzENC5n3Mm1L2Wx2t9r0q",39,0.726,0.801,269240,0.629,0.000387,"A",0.343,-5.51,"Minor",0.0539,86.069,"4/4",0.873
"Folk","Maisie Peters","You To You","6V0jVn35wT1zGMpu0wxnQ3",50,0.599,0.685,217107,0.673,0,"A",0.115,-6.675,"Major",0.0625,112.011,"4/4",0.551
"Blues","Young the Giant","I Got","0CnRxBOItBbzq9vDgyRpXj",49,0.00764,0.377,259773,0.903,9.74e-05,"G#",0.109,-6.423,"Major",0.0739,195.909,"3/4",0.353
"Ska","Authority Zero","Siempre Loco","1BTSN68hkgEV5zOT60chhH",18,0.00361,0.597,49867,0.991,1.94e-06,"A",0.283,-4.058,"Minor",0.0599,106.385,"4/4",0.589
"Ska","Red Store Bums","Habit","3WUCERGoqQlwcr0YoxtR1r",22,0.0672,0.582,175360,0.973,6.67e-06,"C#",0.0749,-2.813,"Major",0.0522,109.308,"4/4",0.936
"Movie","Laura Williams","Didn't Want to Know","42um4AWrCzkahz6DcQkxCq",5,0.0135,0.397,280413,0.438,0.00778,"F#",0.0788,-9.614,"Minor",0.0404,63.836,"4/4",0.794
"Dance","B.o.B","HeadBand (feat. 2 Chainz)","2LvRR121MWFmmEGkuV2vQP",71,0.132,0.919,220240,0.506,0,"C#",0.0771,-7.14,"Major",0.304,97.465,"4/4",0.273
"Alternative","Joji","TEST DRIVE","1DMEzmAoQIikcL52psptQL",78,0.71,0.646,179423,0.648,0.00316,"D#",0.108,-8.602,"Major",0.0372,75.004,"4/4",0.466
"Comedy","Steve Harvey","The Preacher","28Nh854d1DwoASDMYGKpVm",21,0.739,0.55,605920,0.704,0,"F",0.707,-7.807,"Major",0.858,93.481,"3/4",0.455
"Ska","The Black Seeds","Wide Open","0U0jFvkZ6Gi61Y7Q7yxgH1",16,0.146,0.942,327907,0.711,0.633,"F",0.116,-8.076,"Minor",0.0559,115.147,"4/4",0.887
"Opera","Adolphe Adam","O Holy Night","11Hq1xTlR8Bgm3Pgv9EqGs",44,0.754,0.242,167760,0.127,0.946,"C#",0.128,-21.075,"Major",0.0372,88.948,"5/4",0.0387
"Folk","Silver Jews","Random Rules","4sFB5UbO5J09RslzqSBpJS",48,0.47,0.575,238333,0.48,0.000546,"C",0.0727,-10.517,"Major",0.0237,105.383,"4/4",0.537
"Pop","Snakehips","Either Way (feat. Joey Bada$$)","3nodtPfXcok53E8Uze8gvD",63,0.309,0.635,187589,0.659,0,"G#",0.302,-4.92,"Major",0.155,178.018,"4/4",0.54
"Dance","Toro y Moi","Fading","4RKXPNzSNfrlgcCrksmauL",58,0.0617,0.739,197147,0.666,0.164,"C#",0.0934,-8.169,"Minor",0.21,122.144,"4/4",0.666
"Hip-Hop","Action Bronson","Mt. Etna","0yUA5Ci61OTYCYnE4RPU2C",47,0.423,0.595,154094,0.77,0,"G",0.639,-8.014,"Major",0.373,136.183,"4/4",0.883
"Rap","Offset","Made Men","7vkL4wrBEmzr1wsiWRd1zO",74,0.459,0.922,214985,0.673,0,"F",0.12,-6.416,"Minor",0.15,133.998,"4/4",0.702
"Soundtrack","Kyle Dixon & Michael Stein","Kids Two","1v1XAFb4TsF5Zb0JOp1axS",38,0.806,0.31,176000,0.135,0.847,"A#",0.0943,-19.007,"Major",0.036,97.55,"4/4",0.159
"Comedy","Bill Hicks","Great Times on Drugs","4B9ueS3fuh7jN7a47mXjhs",16,0.778,0.474,683240,0.443,0,"B",0.728,-20.89,"Major",0.939,77.737,"3/4",0.268
"R&B","Freddie Jackson","Rock Me Tonight (For Old Times Sake)","5khdtdMlbBjPIKDZ44yK5k",50,0.415,0.714,244227,0.613,0,"C#",0.0598,-6.627,"Major",0.0381,143.933,"4/4",0.524
"Dance","P!nk","For Now","2kVIolfEUjIiYDEPZLTQHg",60,0.211,0.561,216253,0.409,0,"E",0.281,-5.372,"Major",0.0431,164.186,"3/4",0.429
"Pop","Arcade Fire","Wake Up","6Hmj7SrLRbreLVfVS7mV1S",68,0.12,0.252,335333,0.8,0.0538,"C",0.118,-4.845,"Major",0.0368,139.361,"4/4",0.29
"Rock","Freddie Mercury","Love Kills","2CaH4bQQYL5eQhmzN8GqK1",47,0.00131,0.673,269587,0.669,0.002,"A#",0.0801,-10.728,"Minor",0.0451,126.738,"4/4",0.269
"World","Desert Dwellers","Yoga Dub Mystic - (Eastern Sun Remix)","0mx7kobZ0QaAzwR39V6Ytc",25,0.827,0.646,321747,0.553,0.938,"C",0.125,-8.651,"Minor",0.0252,129.971,"4/4",0.0678
"Electronic","Seven Lions","Coming Home - Seven Lions & Ricky Mears Festival Radio Mix","7JEUOWAaxawgtUoApClOkc",28,0.0026,0.447,219187,0.906,0,"G",0.368,-3.637,"Major",0.0814,127.987,"4/4",0.188
"Soundtrack","Rhian Sheehan","Mother","37IexGi3KksWaXoS7pnd5P",49,0.957,0.178,78272,0.0031,0.909,"F",0.0903,-30.736,"Major",0.037,61.866,"3/4",0.037
"Country","Cole Swindell","Down Home Boys","72bEHvkU7j8kVk53F0FhNz",44,0.0222,0.492,173987,0.834,0,"C#",0.195,-4.304,"Major",0.0456,185.966,"4/4",0.502
"Comedy","Tenacious D","Deth Starr - Spotify Commentary","17CZetASM5OJQWMznRzbgu",20,0.807,0.759,56133,0.221,0,"G",0.284,-17.847,"Major",0.951,83.652,"4/4",0.605
"Hip-Hop","Gorillaz","Dirty Harry","2bfGNzdiRa1jXZRdfssSzR",66,0.0315,0.625,230426,0.877,0.0811,"A#",0.672,-7.176,"Minor",0.162,192.296,"4/4",0.865
"World","Paul Kim","Tonight","1xrtQDFJPZe6LAPnzycM5k",32,0.896,0.435,231926,0.14,5.51e-06,"D#",0.101,-13.132,"Major",0.0381,134.794,"4/4",0.258
"Reggae","Peach Fur","All in Good Thyme","5uBWMETxs2MRv2JNE6hAV1",35,0.445,0.509,257000,0.521,0,"G",0.069,-8.352,"Major",0.0318,105.956,"4/4",0.627
"Rock","The Zombies","Care Of Cell 44","5QXqz1KDz8Z8DmfQoxWmmy",54,0.265,0.421,235827,0.58,0.0136,"G",0.0973,-7.011,"Major",0.0285,129.959,"4/4",0.403
"Indie","Quinn XCII","Demon","5ukfhSa6DMPHkGyfdmTnV8",51,0.192,0.801,2e+05,0.631,0,"D#",0.337,-4.999,"Major",0.0477,93.008,"4/4",0.584
"Indie","Mansionair","Easier","6VfLQ8dYSnnY13DpDSMfuq",54,0.202,0.47,272681,0.482,0.0419,"F#",0.0746,-6.999,"Major",0.0435,117.448,"4/4",0.212
"Ska","The Vandals","Bad Birthday Bash","348bEXMYARofJM1gQHwHX1",17,0.0575,0.274,172120,0.938,0,"G",0.124,-7.122,"Major",0.0786,112.164,"4/4",0.434
"Country","Aaron Lewis","Sunday Every Saturday Night","2hvXynoLGdktCusZwX7uzN",45,0.0742,0.596,299733,0.48,0,"A",0.168,-6.603,"Major",0.0264,123.914,"3/4",0.505
"Blues","Super Whatevr","Someone Somewhere Somehow","0XvFwux1NYJrKmCYJ7DOjE",42,0.447,0.434,215481,0.273,0.0257,"D",0.126,-14.19,"Major",0.0374,125.938,"4/4",0.395
"Rock","Francesca Battistelli","Holy Spirit","0VqMBJyeeRA4I6mSPO5uqZ",63,0.00318,0.381,302577,0.532,0,"D",0.098,-7.842,"Major",0.0372,143.774,"4/4",0.1
"Reggae","General Degree","Feeling Irie","1P5GpSSraTkxFOYVwsxMXw",39,0.208,0.76,191253,0.635,0,"F#",0.097,-6.676,"Minor",0.073,91.03,"4/4",0.425
"Hip-Hop","Trinidad James","All Gold Everything","0pgeVJrdNok4KhbiM58ayZ",53,0.0275,0.697,187907,0.75,0,"G",0.355,-8.864,"Major",0.311,99.96,"4/4",0.616
"Blues","System Of A Down","Sugar","31RTFPrB7wmYBhlkM2ILXG",67,0.00167,0.451,153800,0.889,0.00215,"C#",0.258,-2.693,"Major",0.261,131.073,"4/4",0.586
"Hip-Hop","21 Savage","pad lock","5stbfxsPi8gcOH2LCuA4Le",68,0.0187,0.96,191360,0.55,0,"F",0.112,-8.012,"Minor",0.197,130.022,"4/4",0.798
"Alternative","Incubus","Anna Molly","0uLhNT7UIH3nZCCDZd3OBl",60,0.00428,0.451,225880,0.973,7.36e-06,"G#",0.0924,-2.611,"Major",0.0514,151.885,"4/4",0.628
"Reggae","Shaggy","Church Heathen","7LlcgYrED7HbAGeeA3DAno",23,0.0142,0.78,245933,0.614,5.46e-06,"D",0.149,-8.982,"Major",0.0719,100.018,"4/4",0.121
"Soul","Affelaye","Whir","6sYaUqXFlkGgWrQaFFPuXb",40,0.464,0.522,395410,0.464,0.205,"G#",0.469,-10.365,"Minor",0.178,129.998,"4/4",0.148
"Jazz","Judy Garland","It Really Was No Miracle","1ek2xNBj8i8Xav1KyD6lFk",35,0.879,0.649,59427,0.575,0.115,"C",0.596,-15.393,"Major",0.0958,92.736,"3/4",0.963
"Rap","Future","Low Life","7EiZI6JVHllARrX9PUvAdX",76,0.337,0.722,313547,0.331,0.283,"G#",0.146,-7.789,"Major",0.0725,143.974,"4/4",0.102
"Reggae","Tomorrows Bad Seeds","Ten Fold","6fV66IFFtjIHuGPurZohdH",23,0.0548,0.622,317840,0.715,0,"E",0.201,-6.966,"Minor",0.21,92.954,"4/4",0.527
"Comedy","Bo Burnham","RANT","3Mk4DNBchI4vCJo14dReCn",48,0.694,0.738,216267,0.782,0,"G#",0.869,-5.599,"Major",0.481,120.022,"4/4",0.653
"Reggae","Vybz Kartel","Make up Sex","0dMwQjLehoBPhykNWFnSzp",33,0.248,0.745,175059,0.661,0,"C",0.148,-5.236,"Major",0.139,113.342,"5/4",0.449
"Dance","Taylor Swift","Come Back...Be Here","4qyalTRMRH5YuEntvvMvq0",52,0.0051,0.486,222707,0.563,2.81e-06,"E",0.105,-6.328,"Major",0.0271,79.876,"4/4",0.232
